,SST_Anomaly
2010-01-01,1.3625555555555557
2010-01-02,1.4862222222222226
2010-01-03,1.5127777777777782
2010-01-04,1.2873333333333337
2010-01-05,1.1607777777777781
2010-01-06,1.243666666666667
2010-01-07,1.2353333333333338
2010-01-08,1.4666666666666672
2010-01-09,1.4324444444444449
2010-01-10,1.2801111111111114
2010-01-11,1.4393333333333338
2010-01-12,1.297666666666667
2010-01-13,1.588555555555556
2010-01-14,1.578777777777778
2010-01-15,1.3000000000000005
2010-01-16,1.1322222222222225
2010-01-17,1.264777777777778
2010-01-18,1.4775555555555557
2010-01-19,1.205888888888889
2010-01-20,1.5063333333333337
2010-01-21,1.4072222222222222
2010-01-22,1.6564444444444446
2010-01-23,1.4568888888888891
2010-01-24,1.480444444444445
2010-01-25,1.3722222222222222
2010-01-26,1.3336666666666668
2010-01-27,1.6617777777777782
2010-01-28,1.3318888888888891
2010-01-29,1.3331111111111114
2010-01-30,1.800666666666667
2010-01-31,1.7266666666666672
2010-02-01,1.3991111111111114
2010-02-02,1.2988888888888894
2010-02-03,1.3390000000000004
2010-02-04,1.284444444444445
2010-02-05,1.3314444444444447
2010-02-06,1.2562222222222226
2010-02-07,1.202777777777778
2010-02-08,1.1618888888888892
2010-02-09,1.5503333333333338
2010-02-10,1.6620000000000001
2010-02-11,1.5676666666666672
2010-02-12,1.5493333333333337
2010-02-13,1.1602222222222225
2010-02-14,1.5835555555555558
2010-02-15,0.9108888888888892
2010-02-16,1.3700000000000003
2010-02-17,1.2991111111111113
2010-02-18,1.244777777777778
2010-02-19,1.374555555555556
2010-02-20,1.3264444444444445
2010-02-21,1.229
2010-02-22,1.2358888888888893
2010-02-23,1.021666666666667
2010-02-24,1.4492222222222226
2010-02-25,1.3958888888888892
2010-02-26,1.207888888888889
2010-02-27,1.286666666666667
2010-02-28,1.161444444444445
2010-03-01,1.0848888888888892
2010-03-02,1.0526666666666669
2010-03-03,0.9762222222222225
2010-03-04,1.2868888888888892
2010-03-05,1.4763333333333337
2010-03-06,1.2814444444444446
2010-03-07,1.331666666666667
2010-03-08,1.2031111111111112
2010-03-09,1.1201111111111115
2010-03-10,1.188888888888889
2010-03-11,1.2656666666666672
2010-03-12,1.1040000000000003
2010-03-13,1.164666666666667
2010-03-14,1.0813333333333337
2010-03-15,0.4850000000000002
2010-03-16,0.9102222222222225
2010-03-17,1.3072222222222227
2010-03-18,1.0614444444444449
2010-03-19,0.9973333333333336
2010-03-20,1.0555555555555558
2010-03-21,1.0635555555555558
2010-03-22,1.1015555555555558
2010-03-23,1.1638888888888892
2010-03-24,1.0288888888888892
2010-03-25,1.135555555555556
2010-03-26,1.112555555555556
2010-03-27,1.1030000000000004
2010-03-28,1.2248888888888891
2010-03-29,1.0958888888888891
2010-03-30,1.2580000000000002
2010-03-31,1.0997777777777782
2010-04-01,1.293555555555556
2010-04-02,1.2511111111111115
2010-04-03,1.0542222222222226
2010-04-04,0.9473333333333337
2010-04-05,0.9757777777777781
2010-04-06,0.8502222222222225
2010-04-07,1.1348888888888893
2010-04-08,1.137555555555556
2010-04-09,1.0757777777777782
2010-04-10,1.0451111111111113
2010-04-11,1.0142222222222224
2010-04-12,1.0678888888888893
2010-04-13,1.2266666666666672
2010-04-14,1.2201111111111116
2010-04-15,1.3551111111111116
2010-04-16,0.9285555555555559
2010-04-17,1.0401111111111114
2010-04-18,0.8644444444444447
2010-04-19,0.8754444444444448
2010-04-20,1.0200000000000002
2010-04-21,0.7887777777777781
2010-04-22,0.8475555555555558
2010-04-23,0.6433333333333335
2010-04-24,0.656777777777778
2010-04-25,0.6953333333333337
2010-04-26,0.7763333333333337
2010-04-27,0.6403333333333335
2010-04-28,0.680666666666667
2010-04-29,0.6617777777777779
2010-04-30,0.961666666666667
2010-05-01,0.8068888888888892
2010-05-02,0.8741111111111114
2010-05-03,0.5261111111111114
2010-05-04,0.39144444444444465
2010-05-05,0.3743333333333336
2010-05-06,0.20900000000000016
2010-05-07,0.5891111111111114
2010-05-08,0.5980000000000002
2010-05-09,0.4702222222222225
2010-05-10,0.518777777777778
2010-05-11,0.41966666666666685
2010-05-12,0.5282222222222224
2010-05-13,0.257777777777778
2010-05-14,0.4396666666666668
2010-05-15,0.4630000000000002
2010-05-16,0.6771111111111113
2010-05-17,0.37166666666666687
2010-05-18,0.6897777777777779
2010-05-19,0.8881111111111113
2010-05-20,0.634777777777778
2010-05-21,0.4453333333333335
2010-05-22,0.701777777777778
2010-05-23,0.8594444444444448
2010-05-24,0.9104444444444448
2010-05-25,0.3522222222222223
2010-05-26,0.33066666666666683
2010-05-27,0.31988888888888906
2010-05-28,0.22388888888888905
2010-05-29,0.5361111111111113
2010-05-30,0.5006666666666669
2010-05-31,0.41544444444444467
2010-06-01,0.5743333333333336
2010-06-02,0.6525555555555558
2010-06-03,0.42033333333333356
2010-06-04,0.3246666666666668
2010-06-05,0.23011111111111127
2010-06-06,0.3391111111111113
2010-06-07,0.4206666666666668
2010-06-08,0.7091111111111112
2010-06-09,1.3603333333333336
2010-06-10,0.873666666666667
2010-06-11,0.9613333333333336
2010-06-12,0.9551111111111114
2010-06-13,0.976555555555556
2010-06-14,1.2280000000000002
2010-06-15,1.025888888888889
2010-06-16,1.0572222222222225
2010-06-17,0.7548888888888893
2010-06-18,0.12566666666666676
2010-06-19,0.8131111111111113
2010-06-20,0.8262222222222225
2010-06-21,0.8620000000000003
2010-06-22,0.8566666666666669
2010-06-23,0.9453333333333337
2010-06-24,0.9656666666666671
2010-06-25,0.986555555555556
