,SST_Anomaly
2010-01-01,0.2817857142857144
2010-01-02,0.09214285714285726
2010-01-03,0.05392857142857154
2010-01-04,0.049285714285714405
2010-01-05,-0.06285714285714274
2010-01-06,0.06535714285714295
2010-01-07,0.13821428571428584
2010-01-08,0.20928571428571444
2010-01-09,0.08214285714285728
2010-01-10,-0.3646428571428571
2010-01-11,0.06892857142857152
2010-01-12,0.23392857142857154
2010-01-13,-0.1532142857142857
2010-01-14,0.13750000000000012
2010-01-15,0.1560714285714287
2010-01-16,0.12321428571428585
2010-01-17,0.5621428571428574
2010-01-18,0.22500000000000014
2010-01-19,0.18642857142857153
2010-01-20,0.512857142857143
2010-01-21,0.5314285714285717
2010-01-22,0.4075000000000002
2010-01-23,0.190357142857143
2010-01-24,-0.24357142857142852
2010-01-25,0.25071428571428583
2010-01-26,-0.021785714285714235
2010-01-27,0.17392857142857152
2010-01-28,0.13678571428571437
2010-01-29,0.17464285714285727
2010-01-30,-0.0528571428571428
2010-01-31,-0.37464285714285717
2010-02-01,-0.49857142857142844
2010-02-02,-0.5003571428571428
2010-02-03,-0.3589285714285713
2010-02-04,-0.44321428571428567
2010-02-05,-0.10392857142857137
2010-02-06,0.01750000000000009
2010-02-07,-0.1285714285714285
2010-02-08,-0.11821428571428565
2010-02-09,-0.029999999999999936
2010-02-10,-0.6235714285714286
2010-02-11,-0.7664285714285715
2010-02-12,-0.8607142857142858
2010-02-13,-0.8792857142857142
2010-02-14,-0.5246428571428572
2010-02-15,-0.25714285714285706
2010-02-16,-0.5296428571428571
2010-02-17,-0.36821428571428566
2010-02-18,-0.23428571428571426
2010-02-19,0.19642857142857154
2010-02-20,-0.43500000000000005
2010-02-21,-0.6657142857142856
2010-02-22,-0.36321428571428566
2010-02-23,-0.1735714285714285
2010-02-24,-0.3414285714285714
2010-02-25,-0.3539285714285714
2010-02-26,-0.5399999999999999
2010-02-27,-0.4039285714285714
2010-02-28,-0.3689285714285714
2010-03-01,0.12392857142857154
2010-03-02,0.0010714285714286437
2010-03-03,-0.6135714285714287
2010-03-04,-0.5421428571428571
2010-03-05,-0.5178571428571429
2010-03-06,-0.6853571428571429
2010-03-07,-0.7182142857142857
2010-03-08,-0.7389285714285714
2010-03-09,-0.6042857142857142
2010-03-10,-0.7739285714285714
2010-03-11,-0.9471428571428571
2010-03-12,-0.9571428571428572
2010-03-13,-0.9442857142857142
2010-03-14,-0.9264285714285714
2010-03-15,-0.9528571428571428
2010-03-16,-0.9046428571428572
2010-03-17,-0.9892857142857143
2010-03-18,-0.8657142857142858
2010-03-19,-0.7357142857142858
2010-03-20,-0.3664285714285714
2010-03-21,0.02357142857142866
2010-03-22,0.08964285714285725
2010-03-23,0.22142857142857153
2010-03-24,0.5303571428571431
2010-03-25,0.46500000000000014
2010-03-26,0.7671428571428573
2010-03-27,0.8003571428571431
2010-03-28,0.6039285714285717
2010-03-29,0.532857142857143
2010-03-30,0.538214285714286
2010-03-31,0.4932142857142859
2010-04-01,0.40464285714285736
2010-04-02,0.45428571428571446
2010-04-03,0.6550000000000002
2010-04-04,0.7103571428571431
2010-04-05,0.37071428571428583
2010-04-06,0.593214285714286
2010-04-07,-0.17321428571428565
2010-04-08,-0.0628571428571428
2010-04-09,0.32535714285714307
2010-04-10,0.6128571428571431
2010-04-11,0.8275000000000003
2010-04-12,0.7285714285714289
2010-04-13,0.8725000000000004
2010-04-14,0.9446428571428576
2010-04-15,0.9446428571428576
2010-04-16,0.9428571428571433
2010-04-17,1.0067857142857146
2010-04-18,1.0321428571428573
2010-04-19,1.058214285714286
2010-04-20,1.0467857142857147
2010-04-21,1.153214285714286
2010-04-22,1.178214285714286
2010-04-23,0.9889285714285717
2010-04-24,0.9310714285714289
2010-04-25,1.023214285714286
2010-04-26,1.2528571428571431
2010-04-27,1.2964285714285717
2010-04-28,1.4267857142857148
2010-04-29,1.5242857142857147
2010-04-30,1.6114285714285719
2010-05-01,1.5528571428571432
2010-05-02,1.6478571428571431
2010-05-03,1.5621428571428575
2010-05-04,1.0367857142857144
2010-05-05,0.49392857142857166
2010-05-06,0.052857142857143
2010-05-07,-0.20999999999999988
2010-05-08,-0.022142857142857002
2010-05-09,0.03464285714285728
2010-05-10,0.39857142857142874
2010-05-11,0.8325000000000002
2010-05-12,0.9075000000000003
2010-05-13,0.8292857142857145
2010-05-14,0.8003571428571432
2010-05-15,-0.3046428571428571
2010-05-16,-0.9203571428571428
2010-05-17,-1.045
2010-05-18,-1.0274999999999999
2010-05-19,-1.1285714285714286
2010-05-20,-1.2882142857142855
2010-05-21,-1.1874999999999998
2010-05-22,-0.7903571428571428
2010-05-23,-0.32249999999999995
2010-05-24,0.31214285714285733
2010-05-25,0.7782142857142861
2010-05-26,0.8914285714285717
2010-05-27,0.7678571428571431
2010-05-28,0.6728571428571432
2010-05-29,0.9164285714285717
2010-05-30,0.9814285714285716
2010-05-31,-0.05607142857142845
2010-06-01,-0.18714285714285703
2010-06-02,-0.5175
2010-06-03,-0.5417857142857141
2010-06-04,-0.11499999999999984
2010-06-05,0.6582142857142861
2010-06-06,1.2164285714285716
2010-06-07,1.2053571428571432
2010-06-08,1.2817857142857145
2010-06-09,1.3607142857142862
2010-06-10,1.035357142857143
2010-06-11,1.1696428571428574
2010-06-12,1.4675000000000002
2010-06-13,1.7446428571428576
2010-06-14,1.6242857142857148
2010-06-15,0.9896428571428574
2010-06-16,0.7767857142857146
2010-06-17,0.8485714285714289
2010-06-18,0.9232142857142861
2010-06-19,0.780714285714286
2010-06-20,0.040000000000000216
