,SST_Anomaly
2010-01-01,1.1117000000000004
2010-01-02,0.7530000000000002
2010-01-03,0.5063000000000002
2010-01-04,0.09650000000000017
2010-01-05,0.29180000000000017
2010-01-06,0.20320000000000019
2010-01-07,-0.14259999999999992
2010-01-08,-0.19689999999999988
2010-01-09,0.08510000000000015
2010-01-10,0.11400000000000014
2010-01-11,-0.009299999999999876
2010-01-12,-0.31459999999999994
2010-01-13,-0.15229999999999988
2010-01-14,0.028000000000000143
2010-01-15,-0.038399999999999865
2010-01-16,-0.10299999999999986
2010-01-17,-0.08089999999999987
2010-01-18,-0.04379999999999987
2010-01-19,-0.3098999999999999
2010-01-20,-0.2845999999999999
2010-01-21,-0.02269999999999986
2010-01-22,0.14650000000000013
2010-01-23,0.17850000000000016
2010-01-24,-0.07099999999999987
2010-01-25,-0.0992999999999999
2010-01-26,-0.06599999999999986
2010-01-27,-0.26669999999999994
2010-01-28,-0.24669999999999986
2010-01-29,-0.31579999999999997
2010-01-30,0.15610000000000016
2010-01-31,0.13860000000000017
2010-02-01,-0.11869999999999989
2010-02-02,0.13140000000000016
2010-02-03,0.21520000000000017
2010-02-04,0.13890000000000013
2010-02-05,-0.06049999999999991
2010-02-06,-0.3056999999999999
2010-02-07,-0.16359999999999988
2010-02-08,-0.25439999999999985
2010-02-09,-0.4615
2010-02-10,-0.20739999999999992
2010-02-11,-0.11339999999999986
2010-02-12,-0.4889999999999999
2010-02-13,-0.40839999999999993
2010-02-14,-0.7703
2010-02-15,-0.36729999999999996
2010-02-16,-0.6715
2010-02-17,-0.6781999999999999
2010-02-18,-0.8194
2010-02-19,-1.0451
2010-02-20,-1.0031
2010-02-21,-0.8990999999999999
2010-02-22,-0.8338
2010-02-23,-0.6590999999999999
2010-02-24,-0.6637
2010-02-25,-0.6558999999999998
2010-02-26,-1.0235
2010-02-27,-1.1376000000000002
2010-02-28,-0.9763
2010-03-01,-1.1147999999999998
2010-03-02,-1.133
2010-03-03,-1.3151
2010-03-04,-1.294
2010-03-05,-1.3585999999999998
2010-03-06,-1.3374
2010-03-07,-1.4265999999999999
2010-03-08,-1.4610999999999998
2010-03-09,-1.306
2010-03-10,-1.3007999999999997
2010-03-11,-1.2661999999999998
2010-03-12,-1.2606
2010-03-13,-1.4186999999999999
2010-03-14,-1.1243999999999998
2010-03-15,-1.1802
2010-03-16,-1.4245999999999999
2010-03-17,-1.541
2010-03-18,-1.4047
2010-03-19,-1.3736
2010-03-20,-1.3686999999999998
2010-03-21,-1.2485
2010-03-22,-1.2131999999999998
2010-03-23,-1.1517999999999997
2010-03-24,-1.1240999999999999
2010-03-25,-1.2555
2010-03-26,-1.032
2010-03-27,-0.9272999999999999
2010-03-28,-1.0253999999999999
2010-03-29,-1.0820999999999998
2010-03-30,-1.1948999999999999
2010-03-31,-1.1382999999999999
2010-04-01,-1.0525
2010-04-02,-1.1365
2010-04-03,-1.2268
2010-04-04,-1.2274
2010-04-05,-1.1398
2010-04-06,-1.1145
2010-04-07,-1.0956
2010-04-08,-0.8524999999999999
