,SST_Anomaly
2010-01-01,0.4680666666666669
2010-01-02,0.5088000000000001
2010-01-03,0.5198666666666669
2010-01-04,0.5281333333333336
2010-01-05,0.4001333333333335
2010-01-06,0.3604666666666668
2010-01-07,0.32120000000000015
2010-01-08,0.17346666666666685
2010-01-09,0.1469333333333335
2010-01-10,0.11220000000000016
2010-01-11,0.2750000000000002
2010-01-12,0.2412000000000002
2010-01-13,0.07113333333333352
2010-01-14,0.014133333333333477
2010-01-15,0.26866666666666683
2010-01-16,0.01433333333333356
2010-01-17,0.2208000000000002
2010-01-18,0.13753333333333354
2010-01-19,0.3742000000000002
2010-01-20,0.3110000000000002
2010-01-21,0.5168000000000001
2010-01-22,0.4794666666666669
2010-01-23,0.3734000000000002
2010-01-24,0.3482000000000002
2010-01-25,0.25980000000000014
2010-01-26,0.21013333333333348
2010-01-27,0.08220000000000016
2010-01-28,-0.12506666666666655
2010-01-29,-0.10246666666666657
2010-01-30,-0.0603999999999999
2010-01-31,-0.04699999999999989
2010-02-01,0.05546666666666679
2010-02-02,0.04640000000000015
2010-02-03,-0.020733333333333236
2010-02-04,-0.14086666666666653
2010-02-05,0.05306666666666683
2010-02-06,0.0650666666666668
2010-02-07,0.11353333333333349
2010-02-08,0.28613333333333346
2010-02-09,0.3920000000000003
2010-02-10,0.2186666666666669
2010-02-11,0.03293333333333346
2010-02-12,0.34400000000000025
2010-02-13,0.4568666666666669
2010-02-14,0.4004666666666669
2010-02-15,0.2842666666666669
2010-02-16,0.09693333333333351
2010-02-17,0.15353333333333347
2010-02-18,0.2248000000000002
2010-02-19,0.20380000000000018
2010-02-20,0.1108000000000002
2010-02-21,0.09840000000000017
2010-02-22,0.14146666666666682
2010-02-23,0.22113333333333351
2010-02-24,0.08606666666666683
2010-02-25,-0.07173333333333323
2010-02-26,-0.09479999999999991
2010-02-27,-0.2668
2010-02-28,-0.01106666666666653
2010-03-01,-0.10166666666666656
2010-03-02,-0.13759999999999992
2010-03-03,-0.12299999999999987
2010-03-04,0.05573333333333346
2010-03-05,-0.07679999999999985
2010-03-06,-0.0790666666666665
2010-03-07,0.027266666666666804
2010-03-08,0.04873333333333346
2010-03-09,-0.06619999999999986
2010-03-10,0.0010666666666667955
2010-03-11,0.09640000000000012
2010-03-12,0.006666666666666818
2010-03-13,-0.24239999999999998
2010-03-14,-0.17186666666666656
2010-03-15,-0.08406666666666658
2010-03-16,-0.10606666666666657
2010-03-17,-0.034466666666666555
2010-03-18,0.1482666666666668
2010-03-19,-0.1543333333333332
2010-03-20,0.09220000000000014
2010-03-21,0.23506666666666684
2010-03-22,0.15186666666666682
2010-03-23,0.47200000000000025
2010-03-24,0.41953333333333354
2010-03-25,0.23420000000000016
2010-03-26,0.06706666666666677
2010-03-27,-0.15326666666666658
2010-03-28,0.14480000000000015
2010-03-29,0.042066666666666835
2010-03-30,-0.08353333333333322
2010-03-31,-0.13606666666666656
2010-04-01,-0.10146666666666655
2010-04-02,-0.07299999999999993
2010-04-03,-0.0739333333333332
2010-04-04,-0.0017333333333331969
2010-04-05,0.13886666666666683
2010-04-06,-0.008666666666666477
2010-04-07,-0.006933333333333205
2010-04-08,0.1837333333333335
2010-04-09,0.4512000000000002
2010-04-10,0.6220666666666669
2010-04-11,0.8078000000000003
2010-04-12,0.686866666666667
2010-04-13,0.4364000000000002
2010-04-14,0.4240666666666668
2010-04-15,0.3200000000000003
2010-04-16,0.2855333333333336
2010-04-17,0.3502666666666669
2010-04-18,0.5393333333333336
2010-04-19,0.7436666666666668
2010-04-20,0.6698666666666669
2010-04-21,0.8388000000000002
2010-04-22,0.8550666666666671
2010-04-23,1.0063333333333337
2010-04-24,1.1192000000000004
2010-04-25,1.1658666666666668
2010-04-26,1.095866666666667
2010-04-27,1.2958000000000003
2010-04-28,1.3407333333333336
2010-04-29,1.3102000000000003
2010-04-30,1.2773333333333337
2010-05-01,1.2676000000000003
2010-05-02,1.1523333333333337
2010-05-03,1.0619333333333336
2010-05-04,0.8770666666666669
2010-05-05,0.6420666666666669
2010-05-06,0.6126000000000003
2010-05-07,0.4784666666666669
2010-05-08,0.7220666666666671
2010-05-09,0.6803333333333336
2010-05-10,0.5494000000000002
2010-05-11,0.5956000000000002
2010-05-12,0.5214000000000002
2010-05-13,0.49226666666666685
2010-05-14,0.29640000000000016
2010-05-15,0.08573333333333347
2010-05-16,0.16426666666666676
2010-05-17,0.0888000000000001
2010-05-18,0.2678666666666668
2010-05-19,0.6607333333333336
2010-05-20,0.7326666666666668
2010-05-21,0.8448000000000002
2010-05-22,0.8819333333333337
2010-05-23,0.8640000000000003
2010-05-24,0.7877333333333336
2010-05-25,0.733666666666667
2010-05-26,0.8343333333333336
2010-05-27,0.8814666666666668
2010-05-28,0.9789333333333337
2010-05-29,1.035266666666667
2010-05-30,0.8044000000000002
2010-05-31,0.8154000000000002
2010-06-01,0.9705333333333336
2010-06-02,1.1927333333333336
2010-06-03,1.2198666666666669
2010-06-04,1.2148000000000003
2010-06-05,1.2882000000000005
2010-06-06,1.406266666666667
2010-06-07,1.4421333333333337
2010-06-08,1.224266666666667
2010-06-09,1.0629333333333337
2010-06-10,0.9828000000000003
2010-06-11,0.7983333333333337
2010-06-12,0.7691333333333336
2010-06-13,0.718066666666667
2010-06-14,0.6046000000000002
2010-06-15,0.3384666666666668
2010-06-16,0.012600000000000102
2010-06-17,-0.13919999999999993
2010-06-18,-0.20159999999999992
2010-06-19,-0.1588666666666666
2010-06-20,-0.0704666666666666
2010-06-21,-0.08153333333333328
