,SST_Anomaly
2010-01-01,0.12880000000000016
2010-01-02,0.7192000000000002
2010-01-03,0.26940000000000014
2010-01-04,0.20240000000000014
2010-01-05,0.027400000000000133
2010-01-06,0.4156000000000002
2010-01-07,0.04240000000000012
2010-01-08,-0.38739999999999986
2010-01-09,-0.1657999999999999
2010-01-10,-0.015399999999999891
2010-01-11,0.22780000000000017
2010-01-12,0.09420000000000016
2010-01-13,0.5810000000000002
2010-01-14,-0.052399999999999905
2010-01-15,0.07060000000000013
2010-01-16,-0.15239999999999992
2010-01-17,-0.2521999999999999
2010-01-18,0.002800000000000125
2010-01-19,-0.031199999999999874
2010-01-20,0.09200000000000016
2010-01-21,0.03480000000000015
2010-01-22,0.18340000000000015
2010-01-23,-0.4431999999999999
2010-01-24,-0.3615999999999999
2010-01-25,-0.5241999999999998
2010-01-26,-0.013399999999999806
2010-01-27,-0.5672
2010-01-28,-1.059
2010-01-29,-0.8202
2010-01-30,-0.7514
2010-01-31,-0.5508
2010-02-01,-0.7029999999999998
2010-02-02,-0.7422
2010-02-03,-0.9431999999999998
2010-02-04,-0.9671999999999998
2010-02-05,-0.7686
2010-02-06,-0.9635999999999999
2010-02-07,-0.8488
2010-02-08,-0.3591999999999999
2010-02-09,-0.6347999999999999
2010-02-10,-0.6995999999999999
2010-02-11,-0.6872
2010-02-12,-0.726
2010-02-13,-0.9041999999999999
2010-02-14,-0.7332000000000001
2010-02-15,-0.7407999999999999
2010-02-16,-0.3709999999999999
2010-02-17,-1.0164
2010-02-18,-0.945
2010-02-19,-0.8649999999999999
2010-02-20,-0.8777999999999999
2010-02-21,-0.8305999999999999
2010-02-22,-0.8772
2010-02-23,-0.7252
2010-02-24,-0.6093999999999998
2010-02-25,-0.9913999999999998
2010-02-26,-0.4157999999999999
2010-02-27,-0.6678
2010-02-28,-1.1305999999999998
2010-03-01,-0.9802000000000001
2010-03-02,-1.0294
2010-03-03,-1.1283999999999998
2010-03-04,-1.2078
2010-03-05,-1.2986
2010-03-06,-1.4344000000000001
2010-03-07,-1.2194
2010-03-08,-1.034
2010-03-09,-1.1298
2010-03-10,-0.8986000000000001
2010-03-11,-0.8468
2010-03-12,-0.921
2010-03-13,-0.8308
2010-03-14,-0.5819999999999999
2010-03-15,-0.6576
2010-03-16,-0.6125999999999999
2010-03-17,-0.31159999999999993
2010-03-18,0.35300000000000015
2010-03-19,-0.2741999999999999
2010-03-20,-0.474
2010-03-21,-0.539
2010-03-22,-0.6352
2010-03-23,-0.5848
2010-03-24,-0.35039999999999993
2010-03-25,-0.3742
2010-03-26,-0.23319999999999994
2010-03-27,-0.1927999999999999
2010-03-28,-0.31379999999999997
2010-03-29,-0.2704
2010-03-30,0.3818000000000002
2010-03-31,0.012600000000000137
2010-04-01,-0.38639999999999997
2010-04-02,-0.3534
2010-04-03,-0.3646
2010-04-04,-0.3273999999999999
2010-04-05,-0.19099999999999995
2010-04-06,0.4116000000000002
2010-04-07,0.49380000000000024
2010-04-08,0.6240000000000002
2010-04-09,0.7768000000000003
2010-04-10,0.6608000000000002
2010-04-11,0.8354000000000004
2010-04-12,0.9522000000000003
2010-04-13,0.8992000000000002
2010-04-14,0.9102000000000002
2010-04-15,0.8442000000000003
2010-04-16,0.7218000000000002
2010-04-17,0.8000000000000003
2010-04-18,0.7430000000000002
2010-04-19,0.6060000000000002
2010-04-20,0.4448000000000002
2010-04-21,-0.04299999999999994
2010-04-22,-0.03679999999999997
2010-04-23,0.008600000000000066
2010-04-24,0.3744000000000002
2010-04-25,0.21060000000000015
2010-04-26,0.11720000000000014
2010-04-27,0.3640000000000002
2010-04-28,0.6328000000000001
2010-04-29,0.5788000000000002
2010-04-30,0.7512000000000003
2010-05-01,0.6938000000000002
2010-05-02,0.5824000000000004
2010-05-03,0.22060000000000007
2010-05-04,-0.15519999999999992
2010-05-05,0.10540000000000009
2010-05-06,0.2460000000000001
2010-05-07,0.5322000000000002
2010-05-08,0.0352000000000001
2010-05-09,-0.30979999999999996
2010-05-10,-0.4049999999999999
2010-05-11,-0.18239999999999998
2010-05-12,-0.12179999999999998
2010-05-13,0.14100000000000013
2010-05-14,0.36740000000000017
2010-05-15,0.4738000000000003
2010-05-16,0.3328000000000002
2010-05-17,0.19880000000000014
2010-05-18,0.8552000000000003
2010-05-19,1.1648000000000003
2010-05-20,1.8432000000000002
2010-05-21,1.8736000000000004
2010-05-22,2.3280000000000003
2010-05-23,2.2200000000000006
2010-05-24,1.6458000000000002
2010-05-25,1.1700000000000002
2010-05-26,1.0998000000000003
2010-05-27,0.9248000000000003
2010-05-28,0.8688000000000003
2010-05-29,0.9994000000000003
2010-05-30,0.8780000000000002
2010-05-31,0.6962000000000003
2010-06-01,0.8078000000000003
2010-06-02,1.2534000000000003
2010-06-03,1.4554
2010-06-04,1.6092000000000002
2010-06-05,1.7318000000000005
2010-06-06,1.6376000000000004
2010-06-07,1.5322000000000005
2010-06-08,1.4470000000000005
2010-06-09,1.3410000000000002
2010-06-10,1.1612000000000002
2010-06-11,1.3198
2010-06-12,0.8260000000000002
2010-06-13,0.7544000000000003
2010-06-14,0.6814000000000003
2010-06-15,0.5550000000000003
2010-06-16,0.6658000000000002
2010-06-17,0.7646000000000004
2010-06-18,0.7000000000000003
2010-06-19,-0.5449999999999999
2010-06-20,-0.715
2010-06-21,-0.7575999999999999
2010-06-22,-0.5879999999999999
2010-06-23,-0.09259999999999986
2010-06-24,0.3512000000000002
2010-06-25,0.4024000000000002
2010-06-26,0.8564000000000003
2010-06-27,0.9510000000000003
